Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",44.107000,16.193100,90.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.812600,20.738600,180.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.840000,27.250000,-45.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.784800,26.305400,180.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",43.954600,32.067000,-90.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.240000,20.900000,0.000000,top
"C7","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.240000,22.450000,0.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.631000,16.193100,-90.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",42.405200,32.067000,90.000000,top
"C10","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",37.884000,16.293600,90.000000,top
"C11","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",39.408000,16.267100,-90.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",47.663000,11.975600,180.000000,top
"C13","100uF","CP_EIA-2012-15_AVX-P_Pad1.30x1.05mm_HandSolder",74.770000,46.517000,90.000000,top
"C14","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",76.432800,46.628400,90.000000,top
"C15","33pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",77.956800,46.628400,90.000000,top
"C16","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",79.560000,46.628400,90.000000,top
"C17","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.620000,41.240000,0.000000,top
"C18","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.620000,42.790000,180.000000,top
"C19","27p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",56.519200,33.293400,180.000000,top
"C20","27p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",40.990000,37.660000,90.000000,top
"C21","DNF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",92.520000,31.632500,90.000000,top
"C22","DNF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",90.860000,21.250000,-90.000000,top
"C23","DNF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.460000,31.632500,-90.000000,top
"C24","DNF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",92.440000,24.630000,-90.000000,top
"C26","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",28.340000,36.100000,0.000000,top
"C27","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.660000,11.350000,90.000000,top
"C28","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",68.180000,7.620000,90.000000,top
"C29","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",65.140000,7.597500,90.000000,top
"C30","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",62.350000,7.640000,90.000000,top
"C31","4.7uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",13.620000,21.490000,0.000000,top
"C32","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",14.360000,23.470000,0.000000,top
"C33","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.486000,20.297500,-90.000000,top
"C34","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",10.965000,31.325000,-90.000000,top
"C35","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",30.740000,23.250000,180.000000,top
"C36","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",6.090000,20.360000,0.000000,top
"C37","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.640000,12.840000,90.000000,top
"C38","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",26.026100,41.523000,0.000000,top
"C44","470nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.978000,31.693200,-90.000000,top
"C45","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",1.210000,27.605000,90.000000,top
"C46","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",26.026100,39.084600,0.000000,top
"CR1","ESDA6V1-5W6","SOT-363_SC-70-6_Handsoldering",64.460000,18.550000,180.000000,top
"D1","D_TVS","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",89.460000,28.257500,90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",2.140000,40.750000,180.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.940000,51.850000,0.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.135000,51.860000,0.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.330000,51.860000,0.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.520000,51.860000,0.000000,top
"J1","BOOTSEL","TS-1145A-C-A",52.641400,9.384800,180.000000,top
"J2","RESET","TS-1145A-C-A",35.920000,33.220000,-90.000000,top
"J3","DEBUG","PinSocket_1x03_P1.27mm_Vertical",39.645000,31.525000,180.000000,top
"J4","BT(LE)","U.FL-R-SMT10",96.610000,21.883200,90.000000,top
"J5","GSM","U.FL-R-SMT10",96.630000,29.830000,90.000000,top
"J6","USBC_CHARGE","USB_C_Receptacle_HRO_TYPE-C-31-M-31",16.604800,4.864600,0.000000,top
"J7","USBC_PROG","USB_C_Receptacle_HRO_TYPE-C-31-M-31",35.604800,4.864600,0.000000,top
"J8","2822541-1","2822541-1",79.665000,9.475000,0.000000,top
"J9","BATTERY","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",8.850000,40.422000,0.000000,top
"J10","GNSS","U.FL-R-SMT10",96.610000,37.520000,90.000000,top
"L2","1uH","L_Sumida_CDMC6D28_7.25x6.5mm",19.714600,39.008400,-90.000000,top
"R1","27.4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",42.583000,17.540100,90.000000,top
"R2","27.4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",41.059000,17.587100,90.000000,top
"R3","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.240000,26.700000,180.000000,top
"R4","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.238550,28.200000,180.000000,top
"R5","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",56.553000,10.856100,-90.000000,top
"R6","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.238550,29.700000,180.000000,top
"R7","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.240000,31.200000,180.000000,top
"R8","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.240000,34.200000,180.000000,top
"R9","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.238550,35.700000,180.000000,top
"R10","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.240000,32.700000,180.000000,top
"R11","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",65.215000,37.650000,-90.000000,top
"R12","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",63.565000,37.650000,-90.000000,top
"R13","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",89.340000,21.250000,-90.000000,top
"R14","5.6k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",61.741400,26.844800,0.000000,top
"R15","5.6k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",61.743300,28.699000,0.000000,top
"R16","5.6k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",61.765000,24.300000,0.000000,top
"R17","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",45.631000,32.145100,90.000000,top
"R18","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",34.240000,26.200000,0.000000,top
