Designator;Mid X;Mid Y;Rotation;Layer
C1;44.107000;16.193100;90.000000;Top
C2;50.812600;20.738600;180.000000;Top
C3;36.840000;27.250000;-45.000000;Top
C4;50.784800;26.305400;180.000000;Top
C5;43.954600;32.067000;-90.000000;Top
C6;36.240000;20.900000;0.000000;Top
C7;36.240000;22.450000;0.000000;Top
C8;45.631000;16.193100;-90.000000;Top
C9;42.405200;32.067000;90.000000;Top
C10;37.884000;16.293600;90.000000;Top
C11;39.408000;16.267100;-90.000000;Top
C12;47.663000;11.975600;180.000000;Top
C13;74.770000;46.517000;90.000000;Top
C14;76.432800;46.628400;90.000000;Top
C15;77.956800;46.628400;90.000000;Top
C16;79.560000;46.628400;90.000000;Top
C17;84.620000;41.240000;0.000000;Top
C18;84.620000;42.790000;180.000000;Top
C19;56.519200;33.293400;180.000000;Top
C20;40.990000;37.660000;90.000000;Top
C21;92.520000;31.632500;90.000000;Top
C22;90.860000;21.250000;-90.000000;Top
C23;89.460000;31.632500;-90.000000;Top
C24;92.440000;24.630000;-90.000000;Top
C26;28.340000;36.100000;0.000000;Top
C27;88.660000;11.350000;90.000000;Top
C28;68.180000;7.620000;90.000000;Top
C29;65.140000;7.597500;90.000000;Top
C30;62.350000;7.640000;90.000000;Top
C31;13.620000;21.490000;0.000000;Top
C32;14.360000;23.470000;0.000000;Top
C33;19.486000;20.297500;-90.000000;Top
C34;10.965000;31.325000;-90.000000;Top
C35;30.740000;23.250000;180.000000;Top
C36;6.090000;20.360000;0.000000;Top
C37;36.640000;12.840000;90.000000;Top
C38;26.026100;41.523000;0.000000;Top
C44;18.978000;31.693200;-90.000000;Top
C45;1.210000;27.605000;90.000000;Top
C46;26.026100;39.084600;0.000000;Top
CR1;64.460000;18.550000;180.000000;Top
D1;89.460000;28.257500;90.000000;Top
D2;2.140000;40.750000;180.000000;Top
D3;41.940000;51.850000;0.000000;Top
D4;38.135000;51.860000;0.000000;Top
D5;34.330000;51.860000;0.000000;Top
D6;30.520000;51.860000;0.000000;Top
J1;52.641400;9.384800;180.000000;Top
J2;35.920000;33.220000;-90.000000;Top
J3;39.645000;31.525000;180.000000;Top
J4;96.610000;21.883200;90.000000;Top
J5;96.630000;29.830000;90.000000;Top
J6;16.604800;4.864600;0.000000;Top
J7;35.604800;4.864600;0.000000;Top
J8;79.665000;9.475000;0.000000;Top
J9;8.850000;40.422000;0.000000;Top
J10;96.610000;37.520000;90.000000;Top
L2;19.714600;39.008400;-90.000000;Top
R1;42.583000;17.540100;90.000000;Top
R2;41.059000;17.587100;90.000000;Top
R3;68.240000;26.700000;180.000000;Top
R4;68.238550;28.200000;180.000000;Top
R5;56.553000;10.856100;-90.000000;Top
R6;68.238550;29.700000;180.000000;Top
R7;68.240000;31.200000;180.000000;Top
R8;68.240000;34.200000;180.000000;Top
R9;68.238550;35.700000;180.000000;Top
R10;68.240000;32.700000;180.000000;Top
R11;65.215000;37.650000;-90.000000;Top
R12;63.565000;37.650000;-90.000000;Top
R13;89.340000;21.250000;-90.000000;Top
R14;61.741400;26.844800;0.000000;Top
R15;61.743300;28.699000;0.000000;Top
R16;61.765000;24.300000;0.000000;Top
R17;45.631000;32.145100;90.000000;Top
R18;34.240000;26.200000;0.000000;Top
R19;34.290000;24.700000;0.000000;Top
R20;92.440000;21.250000;90.000000;Top
R21;90.980000;31.640000;-90.000000;Top
R22;42.980000;47.870000;-90.000000;Top
R23;39.160000;47.847500;-90.000000;Top
R24;68.180000;10.970000;90.000000;Top
R25;65.140000;10.952500;90.000000;Top
R26;62.350000;10.990000;90.000000;Top
R27;72.090000;18.830000;0.000000;Top
R28;2.027500;38.925000;180.000000;Top
R29;6.090000;21.920000;0.000000;Top
R30;35.350000;47.852500;-90.000000;Top
R31;31.560000;47.862500;-90.000000;Top
R32;92.190000;37.530000;0.000000;Top
R33;6.100000;23.500000;180.000000;Top
R34;2.740000;27.592500;90.000000;Top
R35;20.502000;31.744000;-90.000000;Top
R37;9.130000;27.117500;90.000000;Top
R38;2.740000;30.962500;90.000000;Top
U1;52.616000;15.785600;180.000000;Top
U2;79.354000;29.681200;0.000000;Top
U3;43.599000;24.802600;180.000000;Top
U4;24.060000;24.710000;0.000000;Top
U5;25.140000;32.550000;180.000000;Top
U6;17.197570;27.206896;90.000000;Top
U7;32.190000;15.600000;-90.000000;Top
U8;89.440000;37.340000;0.000000;Top
U10;25.125000;27.357644;180.000000;Top
Y1;52.065000;36.700000;180.000000;Top
Z1;81.512800;45.917200;-90.000000;Top
